Segment,City,State,Category,Sub-Category,Sales,Quantity,Discount,Profit,Cost
Corporate,Los Angeles,California,Technology,Phones,73.584,2,0.2,8.2782,65.3058
Corporate,Los Angeles,California,Office Supplies,Paper,6.48,1,0.0,3.1104,3.3696000000000006
Consumer,Minneapolis,Minnesota,Office Supplies,Paper,12.96,2,0.0,6.2208,6.739200000000001
Consumer,Minneapolis,Minnesota,Furniture,Furnishings,53.34,3,0.0,16.5354,36.80460000000001
Consumer,Minneapolis,Minnesota,Office Supplies,Binders,32.96,2,0.0,16.1504,16.8096
Home Office,Portland,Oregon,Office Supplies,Binders,5.682,1,0.7,-3.788,9.47
Home Office,New York City,New York,Furniture,Furnishings,96.53,7,0.0,40.5426,55.9874
Consumer,San Francisco,California,Office Supplies,Binders,51.312,3,0.2,17.9592,33.3528
Corporate,Saint Paul,Minnesota,Office Supplies,Appliances,77.88,6,0.0,22.5852,55.294799999999995
Home Office,Chicago,Illinois,Office Supplies,Paper,64.624,7,0.2,22.6184,42.005599999999994
Home Office,Chicago,Illinois,Technology,Accessories,95.976,3,0.2,-10.7973,106.7733
Home Office,Chicago,Illinois,Office Supplies,Binders,1.788,3,0.8,-3.0396,4.8276
Consumer,Rochester,Minnesota,Office Supplies,Paper,23.92,4,0.0,11.7208,12.199200000000001
Consumer,Aurora,Colorado,Technology,Accessories,238.896,6,0.2,-26.8758,265.7718
Consumer,Aurora,Colorado,Furniture,Furnishings,102.36,3,0.2,-3.8385,106.1985
Consumer,Aurora,Colorado,Office Supplies,Binders,36.882,3,0.7,-25.8174,62.6994
Consumer,Charlotte,North Carolina,Technology,Accessories,74.112,8,0.2,17.6016,56.51039999999999
Consumer,Charlotte,North Carolina,Technology,Phones,27.992,1,0.2,2.0994,25.8926
Consumer,Charlotte,North Carolina,Office Supplies,Art,3.304,1,0.2,1.0738,2.2302
Home Office,Orland Park,Illinois,Technology,Accessories,339.96,5,0.2,67.992,271.96799999999996
Corporate,New York City,New York,Furniture,Furnishings,41.96,2,0.0,10.9096,31.050400000000003
Consumer,Urbandale,Iowa,Office Supplies,Art,75.96,2,0.0,22.788,53.172
Consumer,Urbandale,Iowa,Office Supplies,Binders,27.24,6,0.0,13.3476,13.892399999999999
Consumer,Columbus,Ohio,Office Supplies,Fasteners,40.096,14,0.2,14.5348,25.561199999999996
Consumer,Columbus,Ohio,Office Supplies,Envelopes,4.72,2,0.2,1.652,3.0679999999999996
Consumer,Columbus,Ohio,Office Supplies,Paper,23.976,3,0.2,7.4925,16.4835
Consumer,Columbus,Ohio,Office Supplies,Envelopes,130.464,6,0.2,44.0316,86.4324
Consumer,Seattle,Washington,Furniture,Tables,787.53,3,0.0,165.3813,622.1487
Corporate,Bristol,Tennessee,Office Supplies,Binders,157.794,1,0.7,-115.7156,273.5096
Consumer,Wilmington,Delaware,Furniture,Furnishings,47.04,3,0.0,18.3456,28.694399999999998
Consumer,Wilmington,Delaware,Office Supplies,Binders,30.84,4,0.0,13.878,16.962
Consumer,Wilmington,Delaware,Office Supplies,Storage,226.56,6,0.0,63.4368,163.1232
Consumer,Wilmington,Delaware,Office Supplies,Envelopes,115.02,9,0.0,51.759,63.260999999999996
Consumer,Wilmington,Delaware,Technology,Phones,68.04,7,0.0,19.7316,48.308400000000006
Home Office,Houston,Texas,Furniture,Chairs,600.558,3,0.3,-8.5794,609.1374
Consumer,Bloomington,Illinois,Furniture,Tables,617.7,6,0.5,-407.682,1025.382
Consumer,Phoenix,Arizona,Office Supplies,Binders,2.388,2,0.7,-1.8308,4.2188
Consumer,Phoenix,Arizona,Office Supplies,Storage,243.992,7,0.2,30.499,213.493
Home Office,Los Angeles,California,Furniture,Chairs,81.424,2,0.2,-9.1602,90.58420000000001
Home Office,Los Angeles,California,Furniture,Furnishings,238.56,3,0.0,26.2416,212.3184
Corporate,Columbus,Ohio,Technology,Phones,59.97,5,0.4,-11.994,71.964
Corporate,Columbus,Ohio,Office Supplies,Paper,78.304,2,0.2,29.364,48.94
Corporate,Columbus,Ohio,Office Supplies,Fasteners,21.456,9,0.2,6.9732,14.4828
Consumer,Roseville,California,Office Supplies,Paper,20.04,3,0.0,9.6192,10.4208
Consumer,Roseville,California,Office Supplies,Paper,35.44,1,0.0,16.6568,18.783199999999997
Consumer,Roseville,California,Office Supplies,Art,11.52,4,0.0,3.456,8.064
Consumer,Roseville,California,Office Supplies,Fasteners,4.02,2,0.0,1.9698,2.0501999999999994
Consumer,Roseville,California,Office Supplies,Binders,76.176,3,0.2,26.6616,49.5144
Consumer,Roseville,California,Office Supplies,Supplies,65.88,6,0.0,18.4464,47.4336
Consumer,Roseville,California,Furniture,Furnishings,43.12,14,0.0,20.6976,22.422399999999996
Corporate,Philadelphia,Pennsylvania,Furniture,Furnishings,82.8,2,0.2,10.35,72.45
Corporate,San Francisco,California,Office Supplies,Art,8.82,3,0.0,2.3814,6.4386
Corporate,San Francisco,California,Office Supplies,Envelopes,10.86,3,0.0,5.1042,5.7558
Corporate,San Francisco,California,Office Supplies,Paper,143.7,3,0.0,68.976,74.72399999999999
Consumer,Independence,Missouri,Office Supplies,Appliances,839.43,3,0.0,218.2518,621.1782
Consumer,Pasadena,California,Office Supplies,Storage,671.93,7,0.0,20.1579,651.7720999999999
Home Office,Newark,Ohio,Furniture,Furnishings,93.888,4,0.2,12.9096,80.97840000000001
Corporate,Franklin,Wisconsin,Technology,Phones,384.45,11,0.0,103.8015,280.6485
Corporate,Franklin,Wisconsin,Technology,Phones,149.97,3,0.0,5.9988,143.9712
Corporate,Franklin,Wisconsin,Furniture,Chairs,1951.84,8,0.0,585.552,1366.288
Corporate,Franklin,Wisconsin,Office Supplies,Binders,171.55,5,0.0,80.6285,90.92150000000001
Home Office,Scottsdale,Arizona,Office Supplies,Appliances,157.92,5,0.2,17.766,140.154
Home Office,Scottsdale,Arizona,Technology,Phones,203.184,2,0.2,15.2388,187.9452
Corporate,San Jose,California,Office Supplies,Paper,58.38,7,0.0,26.271,32.109
Corporate,San Jose,California,Office Supplies,Paper,105.52,4,0.0,48.5392,56.980799999999995
Corporate,San Jose,California,Office Supplies,Storage,80.88,6,0.0,21.0288,59.85119999999999
Home Office,Seattle,Washington,Office Supplies,Art,6.63,3,0.0,1.7901,4.8399
Consumer,Seattle,Washington,Furniture,Chairs,457.568,2,0.2,51.4764,406.09159999999997
Consumer,Edmond,Oklahoma,Office Supplies,Labels,14.62,2,0.0,6.8714,7.748599999999999
Consumer,Edmond,Oklahoma,Technology,Phones,944.93,7,0.0,236.2325,708.6975
Consumer,Los Angeles,California,Office Supplies,Paper,5.98,1,0.0,2.691,3.2890000000000006
Consumer,Philadelphia,Pennsylvania,Technology,Accessories,54.384,2,0.2,1.3596,53.0244
Consumer,Carlsbad,New Mexico,Office Supplies,Envelopes,28.4,5,0.0,13.348,15.051999999999998
Consumer,Seattle,Washington,Office Supplies,Binders,27.68,2,0.2,9.688,17.991999999999997
Consumer,San Antonio,Texas,Office Supplies,Art,9.936,3,0.2,2.7324,7.2036
Consumer,San Antonio,Texas,Technology,Machines,8159.952,8,0.4,-1359.992,9519.944
Consumer,San Antonio,Texas,Office Supplies,Storage,275.928,3,0.2,-58.6347,334.5627
Consumer,San Antonio,Texas,Furniture,Chairs,1740.06,9,0.3,-24.858,1764.918
Consumer,San Antonio,Texas,Office Supplies,Art,32.064,6,0.2,6.8136,25.2504
Consumer,San Antonio,Texas,Office Supplies,Appliances,177.98,5,0.8,-453.849,631.829
Consumer,San Antonio,Texas,Technology,Phones,143.976,3,0.2,8.9985,134.9775
Consumer,Los Angeles,California,Office Supplies,Paper,20.94,3,0.0,9.8418,11.098200000000002
Consumer,Los Angeles,California,Office Supplies,Paper,110.96,2,0.0,53.2608,57.69919999999999
Consumer,Los Angeles,California,Furniture,Chairs,340.144,7,0.2,21.259,318.885
Corporate,Chicago,Illinois,Office Supplies,Appliances,52.448,2,0.8,-131.12,183.568
Corporate,Chicago,Illinois,Office Supplies,Labels,20.16,4,0.2,6.552,13.608
Consumer,Houston,Texas,Office Supplies,Appliances,97.264,4,0.8,-243.16,340.424
Consumer,Newark,Ohio,Furniture,Chairs,396.802,7,0.3,-11.3372,408.1392
Consumer,Newark,Ohio,Office Supplies,Supplies,15.88,5,0.2,-3.7715,19.651500000000002
Home Office,New York City,New York,Office Supplies,Art,3.28,1,0.0,1.4104,1.8695999999999997
Corporate,Decatur,Illinois,Office Supplies,Storage,24.816,2,0.2,1.8612,22.9548
Corporate,Decatur,Illinois,Technology,Accessories,408.744,7,0.2,76.6395,332.10450000000003
Home Office,Monroe,Louisiana,Technology,Phones,503.96,4,0.0,131.0296,372.93039999999996
Home Office,Monroe,Louisiana,Technology,Phones,149.95,5,0.0,41.986,107.964
Home Office,Monroe,Louisiana,Technology,Accessories,29.0,2,0.0,7.25,21.75
Consumer,Fairfield,Connecticut,Office Supplies,Binders,7.16,2,0.0,3.4368,3.7232000000000003
Home Office,Los Angeles,California,Technology,Accessories,176.8,8,0.0,22.984,153.816
Corporate,Grand Prairie,Texas,Office Supplies,Storage,37.224,3,0.2,3.7224,33.501599999999996
Corporate,Grand Prairie,Texas,Office Supplies,Paper,20.016,3,0.2,6.255,13.761
Home Office,New York City,New York,Furniture,Bookcases,899.136,4,0.2,112.392,786.7439999999999
Home Office,New York City,New York,Technology,Phones,71.76,6,0.0,20.0928,51.66720000000001
Home Office,New York City,New York,Office Supplies,Paper,51.84,8,0.0,24.8832,26.956800000000005
Home Office,New York City,New York,Furniture,Bookcases,626.352,3,0.2,46.9764,579.3756
Home Office,New York City,New York,Office Supplies,Art,19.9,5,0.0,6.567,13.332999999999998
Corporate,Redlands,California,Office Supplies,Envelopes,14.28,7,0.0,6.7116,7.5684
Consumer,Hamilton,Ohio,Office Supplies,Art,7.408,2,0.2,1.2038,6.2042
Consumer,Hamilton,Ohio,Office Supplies,Art,6.048,3,0.2,1.5876,4.4604
Home Office,Westfield,New Jersey,Office Supplies,Storage,46.26,3,0.0,12.0276,34.2324
Corporate,Philadelphia,Pennsylvania,Office Supplies,Binders,2.946,2,0.7,-2.2586,5.2046
Corporate,Philadelphia,Pennsylvania,Office Supplies,Paper,16.056,3,0.2,5.8203,10.235700000000001
Consumer,Akron,Ohio,Office Supplies,Paper,21.744,3,0.2,6.795,14.949
Consumer,Denver,Colorado,Furniture,Tables,218.75,2,0.5,-161.875,380.625
Consumer,Denver,Colorado,Office Supplies,Appliances,2.6,1,0.2,0.2925,2.3075
Consumer,Dallas,Texas,Office Supplies,Appliances,66.284,2,0.8,-178.9668,245.25080000000003
Corporate,Franklin,Tennessee,Furniture,Furnishings,35.168,7,0.2,9.6712,25.4968
Consumer,Whittier,California,Technology,Phones,444.768,4,0.2,44.4768,400.2912
Consumer,Saginaw,Michigan,Office Supplies,Storage,83.92,4,0.0,5.8744,78.04560000000001
Consumer,Saginaw,Michigan,Technology,Phones,131.98,2,0.0,35.6346,96.34539999999998
Consumer,Saginaw,Michigan,Office Supplies,Binders,15.92,4,0.0,7.4824,8.4376
Consumer,Saginaw,Michigan,Office Supplies,Fasteners,52.29,9,0.0,16.2099,36.0801
Consumer,Saginaw,Michigan,Office Supplies,Storage,91.99,1,0.0,3.6796,88.3104
Corporate,Dallas,Texas,Technology,Accessories,20.8,2,0.2,6.5,14.3
Corporate,Medina,Ohio,Office Supplies,Labels,23.68,2,0.2,8.88,14.799999999999999
Corporate,Medina,Ohio,Furniture,Bookcases,452.45,5,0.5,-244.323,696.773
Corporate,Medina,Ohio,Technology,Phones,62.982,3,0.4,-14.6958,77.6778
Corporate,Medina,Ohio,Technology,Machines,1188.0,9,0.7,-950.4,2138.4
Corporate,Medina,Ohio,Technology,Accessories,89.584,2,0.2,4.4792,85.1048
Consumer,Los Angeles,California,Office Supplies,Storage,93.06,6,0.0,26.0568,67.0032
Consumer,Los Angeles,California,Technology,Phones,302.376,3,0.2,22.6782,279.6978
Consumer,Dublin,Ohio,Office Supplies,Fasteners,5.584,2,0.2,1.8148,3.7691999999999997
Consumer,Dublin,Ohio,Office Supplies,Paper,22.704,6,0.2,8.2302,14.4738
Consumer,Dublin,Ohio,Office Supplies,Binders,19.776,4,0.7,-13.8432,33.6192
Consumer,Dublin,Ohio,Furniture,Furnishings,72.704,4,0.2,19.0848,53.61919999999999
Consumer,Dublin,Ohio,Technology,Machines,479.988,4,0.7,-383.9904,863.9784
Consumer,Dublin,Ohio,Office Supplies,Art,27.168,2,0.2,2.7168,24.4512
Corporate,Detroit,Michigan,Office Supplies,Art,2.2,1,0.0,0.968,1.2320000000000002
Corporate,Detroit,Michigan,Furniture,Tables,622.45,5,0.0,136.939,485.5110000000001
Corporate,Detroit,Michigan,Office Supplies,Storage,21.98,1,0.0,0.2198,21.7602
Consumer,Columbia,Tennessee,Furniture,Chairs,161.568,2,0.2,-28.2744,189.8424
Consumer,Columbia,Tennessee,Furniture,Chairs,389.696,8,0.2,43.8408,345.8552
Corporate,Charlotte,North Carolina,Office Supplies,Binders,18.648,7,0.7,-12.432,31.08
Home Office,Tampa,Florida,Furniture,Tables,233.86,2,0.45,-102.048,335.908
Home Office,Tampa,Florida,Furniture,Tables,620.6145,3,0.45,-248.2458,868.8603
Home Office,Tampa,Florida,Office Supplies,Binders,5.328,2,0.7,-3.552,8.88
Home Office,Tampa,Florida,Furniture,Furnishings,258.072,3,0.2,0.0,258.072
Home Office,Tampa,Florida,Technology,Accessories,617.976,3,0.2,-7.7247,625.7007
Corporate,Santa Clara,California,Office Supplies,Paper,10.56,2,0.0,4.752,5.808000000000001
Consumer,Chicago,Illinois,Office Supplies,Paper,25.92,5,0.2,9.396,16.524
Consumer,Chicago,Illinois,Furniture,Furnishings,419.68,5,0.6,-356.728,776.408
Consumer,Chicago,Illinois,Furniture,Furnishings,11.688,3,0.6,-4.6752,16.3632
Consumer,Chicago,Illinois,Technology,Phones,31.984,2,0.2,11.1944,20.7896
Consumer,Chicago,Illinois,Furniture,Tables,177.225,5,0.5,-120.513,297.738
Consumer,Chicago,Illinois,Furniture,Furnishings,4.044,3,0.6,-2.8308,6.8748
Consumer,Chicago,Illinois,Office Supplies,Art,7.408,2,0.2,1.2038,6.2042
Home Office,Lakeville,Minnesota,Furniture,Chairs,2001.86,7,0.0,580.5394,1421.3206
Home Office,Lakeville,Minnesota,Office Supplies,Storage,166.72,2,0.0,41.68,125.03999999999999
Home Office,Lakeville,Minnesota,Office Supplies,Paper,47.88,6,0.0,23.94,23.94
Home Office,Lakeville,Minnesota,Office Supplies,Appliances,1503.25,5,0.0,496.0725,1007.1775
Home Office,Lakeville,Minnesota,Office Supplies,Paper,25.92,4,0.0,12.4416,13.478400000000002
Consumer,San Francisco,California,Furniture,Chairs,321.568,2,0.2,28.1372,293.4308
Consumer,San Diego,California,Office Supplies,Paper,7.61,1,0.0,3.5767,4.0333000000000006
Consumer,San Diego,California,Technology,Accessories,3347.37,13,0.0,636.0003,2711.3696999999997
Consumer,New York City,New York,Office Supplies,Storage,80.58,6,0.0,22.5624,58.0176
Consumer,New York City,New York,Office Supplies,Envelopes,361.92,4,0.0,162.864,199.056
Corporate,Chicago,Illinois,Furniture,Furnishings,12.132,9,0.6,-8.4924,20.6244
Corporate,Chicago,Illinois,Office Supplies,Storage,82.368,2,0.2,-19.5624,101.93039999999999
Corporate,Chicago,Illinois,Office Supplies,Storage,53.92,5,0.2,4.044,49.876000000000005
Corporate,Chicago,Illinois,Technology,Phones,647.904,6,0.2,56.6916,591.2124
Consumer,New York City,New York,Technology,Accessories,20.37,3,0.0,6.9258,13.444200000000002
Consumer,New York City,New York,Office Supplies,Storage,221.55,3,0.0,6.6465,214.9035
Consumer,New York City,New York,Office Supplies,Binders,17.52,5,0.2,6.132,11.388
Corporate,Pasadena,Texas,Office Supplies,Appliances,1.624,2,0.8,-4.466,6.09
Corporate,Houston,Texas,Technology,Machines,3059.982,3,0.4,-509.997,3569.979
Corporate,Houston,Texas,Technology,Machines,2519.958,7,0.4,-251.9958,2771.9538000000002
Consumer,Chicago,Illinois,Technology,Phones,328.224,4,0.2,28.7196,299.5044
Consumer,Brentwood,California,Technology,Accessories,79.9,2,0.0,35.156,44.74400000000001
Corporate,Chapel Hill,North Carolina,Office Supplies,Art,14.016,3,0.2,4.7304,9.285599999999999
Consumer,Morristown,New Jersey,Office Supplies,Fasteners,7.56,6,0.0,0.3024,7.2576
Corporate,Cincinnati,Ohio,Office Supplies,Storage,37.208,1,0.2,-7.4416,44.6496
Corporate,Cincinnati,Ohio,Office Supplies,Envelopes,57.576,3,0.2,21.591,35.985
Corporate,San Francisco,California,Office Supplies,Storage,725.84,4,0.0,210.4936,515.3464
Consumer,San Francisco,California,Technology,Accessories,209.93,7,0.0,92.3692,117.5608
Consumer,San Francisco,California,Furniture,Furnishings,5.28,3,0.0,2.3232,2.9568000000000003
Consumer,San Francisco,California,Office Supplies,Binders,10.92,3,0.2,4.095,6.825
Corporate,Inglewood,California,Office Supplies,Paper,8.82,2,0.0,4.0572,4.7628
Corporate,Inglewood,California,Office Supplies,Art,5.98,1,0.0,1.5548,4.4252
Corporate,Philadelphia,Pennsylvania,Office Supplies,Paper,11.648,2,0.2,4.0768,7.571199999999999
Corporate,Philadelphia,Pennsylvania,Office Supplies,Paper,18.176,4,0.2,5.9072,12.268799999999999
Corporate,Philadelphia,Pennsylvania,Office Supplies,Storage,59.712,6,0.2,5.9712,53.74080000000001
Corporate,Philadelphia,Pennsylvania,Office Supplies,Labels,24.84,3,0.2,8.694,16.146
Consumer,Houston,Texas,Office Supplies,Binders,2.08,5,0.8,-3.432,5.5120000000000005
Consumer,Houston,Texas,Technology,Phones,1114.4,7,0.2,376.11,738.2900000000001
Consumer,Los Angeles,California,Furniture,Tables,1038.84,5,0.2,51.942,986.8979999999999
Consumer,Portland,Oregon,Office Supplies,Paper,141.76,5,0.2,47.844,93.916
Consumer,Portland,Oregon,Technology,Accessories,239.8,5,0.2,47.96,191.84
Consumer,Portland,Oregon,Office Supplies,Paper,31.104,6,0.2,10.8864,20.217599999999997
Corporate,Tamarac,Florida,Office Supplies,Binders,254.058,7,0.7,-169.372,423.43
Corporate,Tamarac,Florida,Office Supplies,Appliances,194.528,2,0.2,24.316,170.212
Corporate,Tamarac,Florida,Office Supplies,Supplies,961.48,5,0.2,-204.3145,1165.7945
Home Office,Columbus,Ohio,Office Supplies,Fasteners,19.096,7,0.2,6.6836,12.4124
Home Office,Columbus,Ohio,Office Supplies,Labels,18.496,8,0.2,6.2424,12.253599999999999
Home Office,Columbus,Ohio,Technology,Accessories,255.984,2,0.2,54.3966,201.5874
Home Office,Columbus,Ohio,Furniture,Bookcases,86.97,3,0.5,-48.7032,135.6732
Corporate,Colorado Springs,Colorado,Furniture,Furnishings,300.416,8,0.2,78.8592,221.5568
Corporate,Colorado Springs,Colorado,Furniture,Chairs,230.352,3,0.2,20.1558,210.1962
Corporate,Colorado Springs,Colorado,Furniture,Furnishings,218.352,3,0.2,-24.5646,242.91660000000002
Corporate,Colorado Springs,Colorado,Office Supplies,Binders,78.6,5,0.7,-62.88,141.48
Corporate,Colorado Springs,Colorado,Office Supplies,Fasteners,27.552,3,0.2,9.2988,18.2532
Corporate,Belleville,New Jersey,Office Supplies,Paper,32.4,5,0.0,15.552,16.848
Corporate,Belleville,New Jersey,Office Supplies,Storage,1082.48,8,0.0,10.8248,1071.6552
